time;Ansaugtemperatur;Auslasstemperatur;Differenz;Raumtemperatur;Ruecklauf;Vorlauf
2020-12-11T15:10:35Z;;;;;;
2020-12-11T15:10:40Z;;;;;;
2020-12-11T15:10:45Z;;;;;;
2020-12-11T15:10:50Z;;;;19,69;;
2020-12-11T15:10:55Z;;;;19,69;;
2020-12-11T15:11:00Z;;;;19,69;;
2020-12-11T15:11:05Z;;;;19,69;;
2020-12-11T15:11:10Z;;;;19,69;;
2020-12-11T15:11:15Z;;;;19,69;;
2020-12-11T15:11:20Z;;;;19,69;;
2020-12-11T15:11:25Z;;;;19,69;;
2020-12-11T15:11:30Z;;;;19,69;;
2020-12-11T15:11:35Z;;;;19,69;;
2020-12-11T15:11:40Z;;;;19,69;;
2020-12-11T15:11:45Z;;;;19,69;;
2020-12-11T15:11:50Z;;;;19,69;;
2020-12-11T15:11:55Z;;;;19,69;;
2020-12-11T15:12:00Z;;;;19,69;;
2020-12-11T15:12:05Z;;;;19,69;;
2020-12-11T15:12:10Z;;;;19,69;;
2020-12-11T15:12:15Z;;;;19,69;;
2020-12-11T15:12:20Z;;;;19,69;;
2020-12-11T15:12:25Z;;;;19,69;;
2020-12-11T15:12:30Z;;;;19,69;;
2020-12-11T15:12:35Z;;;;19,69;;
2020-12-11T15:12:40Z;;;;19,69;;
2020-12-11T15:12:45Z;;;;19,69;;
2020-12-11T15:12:50Z;;;;19,69;;
2020-12-11T15:12:55Z;;;;19,69;;
2020-12-11T15:13:00Z;;;;19,69;;
2020-12-11T15:13:05Z;;;;19,69;;
2020-12-11T15:13:10Z;;;;19,69;;
2020-12-11T15:13:15Z;;;;19,69;;
2020-12-11T15:13:20Z;;;;19,69;;
2020-12-11T15:13:25Z;;;;19,69;;
2020-12-11T15:13:30Z;;;;19,69;;
2020-12-11T15:13:35Z;;;;19,69;;
2020-12-11T15:13:40Z;;;;19,69;;
2020-12-11T15:13:45Z;;;;19,69;;
2020-12-11T15:13:50Z;;;;19,69;;
2020-12-11T15:13:55Z;;;;19,69;;
2020-12-11T15:14:00Z;;;;19,69;;
2020-12-11T15:14:05Z;;;;19,69;;
2020-12-11T15:14:10Z;;;;19,69;;
2020-12-11T15:14:15Z;;;;19,69;;
2020-12-11T15:14:20Z;;;;19,69;;
2020-12-11T15:14:25Z;;;;19,69;;
2020-12-11T15:14:30Z;;;;19,69;;
2020-12-11T15:14:35Z;;;;19,69;;
2020-12-11T15:14:40Z;;;;19,69;;
2020-12-11T15:14:45Z;;;;19,69;;
2020-12-11T15:14:50Z;;;;19,69;;
2020-12-11T15:14:55Z;;;;19,69;;
2020-12-11T15:15:00Z;;;;19,69;;
2020-12-11T15:15:05Z;;;;19,69;;
2020-12-11T15:15:10Z;;;;19,69;;
2020-12-11T15:15:15Z;;;;19,69;;
